0,1,2,3,4,5,6,7,8,9,10
1143.0,1222.0,1229.0,1128.0,1046.0,1112.0,1012.0,900.0,1055.0,1142.0,1026.0
1222.0,1229.0,1128.0,1046.0,1112.0,1012.0,900.0,1055.0,1142.0,1026.0,1155.0
1229.0,1128.0,1046.0,1112.0,1012.0,900.0,1055.0,1142.0,1026.0,1155.0,1125.0
1128.0,1046.0,1112.0,1012.0,900.0,1055.0,1142.0,1026.0,1155.0,1125.0,1191.0
1046.0,1112.0,1012.0,900.0,1055.0,1142.0,1026.0,1155.0,1125.0,1191.0,866.0
1112.0,1012.0,900.0,1055.0,1142.0,1026.0,1155.0,1125.0,1191.0,866.0,1114.0
1012.0,900.0,1055.0,1142.0,1026.0,1155.0,1125.0,1191.0,866.0,1114.0,1177.0
900.0,1055.0,1142.0,1026.0,1155.0,1125.0,1191.0,866.0,1114.0,1177.0,1091.0
1055.0,1142.0,1026.0,1155.0,1125.0,1191.0,866.0,1114.0,1177.0,1091.0,922.0
1142.0,1026.0,1155.0,1125.0,1191.0,866.0,1114.0,1177.0,1091.0,922.0,1112.0
1026.0,1155.0,1125.0,1191.0,866.0,1114.0,1177.0,1091.0,922.0,1112.0,1037.0
1155.0,1125.0,1191.0,866.0,1114.0,1177.0,1091.0,922.0,1112.0,1037.0,1102.0
1125.0,1191.0,866.0,1114.0,1177.0,1091.0,922.0,1112.0,1037.0,1102.0,1148.0
1191.0,866.0,1114.0,1177.0,1091.0,922.0,1112.0,1037.0,1102.0,1148.0,1196.0
866.0,1114.0,1177.0,1091.0,922.0,1112.0,1037.0,1102.0,1148.0,1196.0,1220.0
1114.0,1177.0,1091.0,922.0,1112.0,1037.0,1102.0,1148.0,1196.0,1220.0,1083.0
1177.0,1091.0,922.0,1112.0,1037.0,1102.0,1148.0,1196.0,1220.0,1083.0,1069.0
1091.0,922.0,1112.0,1037.0,1102.0,1148.0,1196.0,1220.0,1083.0,1069.0,1202.0
922.0,1112.0,1037.0,1102.0,1148.0,1196.0,1220.0,1083.0,1069.0,1202.0,1268.0
1112.0,1037.0,1102.0,1148.0,1196.0,1220.0,1083.0,1069.0,1202.0,1268.0,1233.0
1037.0,1102.0,1148.0,1196.0,1220.0,1083.0,1069.0,1202.0,1268.0,1233.0,1177.0
1102.0,1148.0,1196.0,1220.0,1083.0,1069.0,1202.0,1268.0,1233.0,1177.0,1069.0
1148.0,1196.0,1220.0,1083.0,1069.0,1202.0,1268.0,1233.0,1177.0,1069.0,1390.0
1196.0,1220.0,1083.0,1069.0,1202.0,1268.0,1233.0,1177.0,1069.0,1390.0,1073.0
1220.0,1083.0,1069.0,1202.0,1268.0,1233.0,1177.0,1069.0,1390.0,1073.0,1065.0
1083.0,1069.0,1202.0,1268.0,1233.0,1177.0,1069.0,1390.0,1073.0,1065.0,1056.0
1069.0,1202.0,1268.0,1233.0,1177.0,1069.0,1390.0,1073.0,1065.0,1056.0,929.0
1202.0,1268.0,1233.0,1177.0,1069.0,1390.0,1073.0,1065.0,1056.0,929.0,1227.0
1268.0,1233.0,1177.0,1069.0,1390.0,1073.0,1065.0,1056.0,929.0,1227.0,1123.0
1233.0,1177.0,1069.0,1390.0,1073.0,1065.0,1056.0,929.0,1227.0,1123.0,940.0
1177.0,1069.0,1390.0,1073.0,1065.0,1056.0,929.0,1227.0,1123.0,940.0,979.0
1069.0,1390.0,1073.0,1065.0,1056.0,929.0,1227.0,1123.0,940.0,979.0,999.0
1390.0,1073.0,1065.0,1056.0,929.0,1227.0,1123.0,940.0,979.0,999.0,1169.0
1073.0,1065.0,1056.0,929.0,1227.0,1123.0,940.0,979.0,999.0,1169.0,1274.0
1065.0,1056.0,929.0,1227.0,1123.0,940.0,979.0,999.0,1169.0,1274.0,1362.0
1056.0,929.0,1227.0,1123.0,940.0,979.0,999.0,1169.0,1274.0,1362.0,1219.0
929.0,1227.0,1123.0,940.0,979.0,999.0,1169.0,1274.0,1362.0,1219.0,1025.0
1227.0,1123.0,940.0,979.0,999.0,1169.0,1274.0,1362.0,1219.0,1025.0,1044.0
1123.0,940.0,979.0,999.0,1169.0,1274.0,1362.0,1219.0,1025.0,1044.0,996.0
940.0,979.0,999.0,1169.0,1274.0,1362.0,1219.0,1025.0,1044.0,996.0,870.0
